[2019-06-26 16:56:49.254] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 7324 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 16:56:49.258] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2019-06-26 16:56:49.954] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 16:56:49.969] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 16:56:49.970] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 16:56:50.042] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 16:56:50.042] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 761 ms
[2019-06-26 16:56:50.453] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
[2019-06-26 16:56:50.620] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8080 (http) with context path ''
[2019-06-26 16:56:50.622] INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started Application in 1.619 seconds (JVM running for 2.682)
[2019-06-26 16:57:04.049] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 7864 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
[2019-06-26 16:57:04.050] INFO  org.springframework.boot.SpringApplication 646 logStartupProfileInfo - No active profile set, falling back to default profiles: default
[2019-06-26 16:57:04.747] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 90 initialize - Tomcat initialized with port(s): 8080 (http)
[2019-06-26 16:57:04.761] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting service [Tomcat]
[2019-06-26 16:57:04.762] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Starting Servlet engine: [Apache Tomcat/9.0.21]
[2019-06-26 16:57:04.833] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring embedded WebApplicationContext
[2019-06-26 16:57:04.833] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext 283 prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 760 ms
[2019-06-26 16:57:05.235] INFO  org.springframework.scheduling.concurrent.ExecutorConfigurationSupport 171 initialize - Initializing ExecutorService 'applicationTaskExecutor'
[2019-06-26 16:57:05.403] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 202 start - Tomcat started on port(s): 8080 (http) with context path ''
[2019-06-26 16:57:05.405] INFO  org.springframework.boot.StartupInfoLogger 59 logStarted - Started Application in 1.615 seconds (JVM running for 2.899)
[2019-06-26 16:57:09.695] INFO  org.apache.juli.logging.DirectJDKLog 173 log - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2019-06-26 16:57:09.695] INFO  org.springframework.web.servlet.FrameworkServlet 524 initServletBean - Initializing Servlet 'dispatcherServlet'
[2019-06-26 16:57:09.699] INFO  org.springframework.web.servlet.FrameworkServlet 546 initServletBean - Completed initialization in 4 ms
[2019-06-26 16:57:09.764] INFO  com.alibaba.druid.pool.DruidDataSource 1003 init - {dataSource-1} inited
[2019-06-26 16:57:38.793] INFO  org.springframework.boot.StartupInfoLogger 50 logStarting - Starting Application on DESKTOP-K2RK060 with PID 4240 (D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis\target\classes started by user22 in D:\workspace\springBoot-myself-demo\Spring-Boot-MyBatis)
